start_time,end_time,duration,label,rms_energy,event_label,scanner_block
195.616,196.496,0.8799999999999955,1,0.0,inactive,1
196.496,196.73600000000002,0.2400000000000091,2,0.0,pre,1
196.73600000000002,196.912,0.17599999999998772,1,0.0,scan,1
196.912,197.13600000000002,0.22400000000001796,2,0.0,post,1
197.13600000000002,197.328,0.19199999999997885,0,0.0,inactive,1
197.328,197.39200000000002,0.06400000000002137,2,0.0,pre,1
197.39200000000002,197.424,0.031999999999982265,0,0.0,scan,1
197.424,197.536,0.11199999999999477,3,0.0,post,1
197.536,197.74400000000003,0.20800000000002683,1,0.0,inactive,1
197.74400000000003,197.936,0.19199999999997885,2,0.0,pre,1
197.936,198.24,0.30400000000000205,0,0.0,scan,1
198.24,198.336,0.09600000000000364,3,0.0,post,1
198.336,198.52800000000002,0.19200000000000728,1,0.0,inactive,1
198.52800000000002,198.73600000000002,0.2079999999999984,2,0.0,pre,1
198.73600000000002,199.024,0.2879999999999825,0,0.0,scan,1
199.024,199.15200000000002,0.12800000000001432,3,0.0,post,1
199.15200000000002,199.34400000000002,0.19200000000000728,1,0.0,inactive,1
199.34400000000002,199.536,0.19199999999997885,2,0.0,pre,1
199.536,199.84,0.30400000000000205,0,0.0,scan,1
199.84,199.95200000000003,0.11200000000002319,3,0.0,post,1
199.95200000000003,200.12800000000001,0.17599999999998772,1,0.0,inactive,1
200.12800000000001,200.32000000000002,0.19200000000000728,2,0.0,pre,1
200.32000000000002,200.64000000000001,0.3199999999999932,0,0.0,scan,1
200.64000000000001,200.752,0.11199999999999477,3,0.0,post,1
200.752,200.92800000000003,0.17600000000001614,1,0.0,inactive,1
200.92800000000003,201.13600000000002,0.2079999999999984,2,0.0,pre,1
201.13600000000002,201.424,0.2879999999999825,0,0.0,scan,1
201.424,201.55200000000002,0.12800000000001432,3,0.0,post,1
201.55200000000002,201.74400000000003,0.19200000000000728,1,0.0,inactive,1
201.74400000000003,201.92000000000002,0.17599999999998772,2,0.0,pre,1
201.92000000000002,202.22400000000002,0.30400000000000205,0,0.0,scan,1
202.22400000000002,202.352,0.1279999999999859,3,0.0,post,1
202.352,202.544,0.19200000000000728,1,0.0,inactive,1
202.544,202.73600000000002,0.19200000000000728,2,0.0,pre,1
202.73600000000002,203.04000000000002,0.30400000000000205,0,0.0,scan,1
203.04000000000002,203.168,0.1279999999999859,3,0.0,post,1
203.168,203.34400000000002,0.17600000000001614,1,0.0,inactive,1
203.34400000000002,203.55200000000002,0.2079999999999984,2,0.0,pre,1
203.55200000000002,203.84,0.2879999999999825,0,0.0,scan,1
203.84,203.95200000000003,0.11200000000002319,3,0.0,post,1
203.95200000000003,204.12800000000001,0.17599999999998772,1,0.0,inactive,1
204.12800000000001,204.32000000000002,0.19200000000000728,2,0.0,pre,1
204.32000000000002,204.64000000000001,0.3199999999999932,0,0.0,scan,1
204.64000000000001,204.752,0.11199999999999477,3,0.0,post,1
204.752,204.94400000000002,0.19200000000000728,1,0.0,inactive,1
204.94400000000002,205.13600000000002,0.19200000000000728,2,0.0,pre,1
205.13600000000002,205.424,0.2879999999999825,0,0.0,scan,1
205.424,205.55200000000002,0.12800000000001432,3,0.0,post,1
205.55200000000002,205.728,0.17599999999998772,1,0.0,inactive,1
205.728,205.936,0.2079999999999984,2,0.0,pre,1
205.936,206.22400000000002,0.2880000000000109,0,0.0,scan,1
206.22400000000002,206.352,0.1279999999999859,3,0.0,post,1
206.352,206.52800000000002,0.17600000000001614,1,0.0,inactive,1
206.52800000000002,206.72000000000003,0.19200000000000728,2,0.0,pre,1
206.72000000000003,207.008,0.2879999999999825,0,0.0,scan,1
207.008,207.168,0.1599999999999966,3,0.0,post,1
207.168,207.34400000000002,0.17600000000001614,1,0.0,inactive,1
207.34400000000002,207.52,0.17599999999998772,2,0.0,pre,1
207.52,207.84,0.3199999999999932,0,0.0,scan,1
207.84,207.95200000000003,0.11200000000002319,3,0.0,post,1
207.95200000000003,208.12800000000001,0.17599999999998772,1,0.0,inactive,1
208.12800000000001,208.336,0.2079999999999984,2,0.0,pre,1
208.336,208.64000000000001,0.30400000000000205,0,0.0,scan,1
208.64000000000001,208.73600000000002,0.09600000000000364,3,0.0,post,1
208.73600000000002,208.92800000000003,0.19200000000000728,1,0.0,inactive,1
208.92800000000003,209.13600000000002,0.2079999999999984,2,0.0,pre,1
209.13600000000002,209.40800000000002,0.27199999999999136,0,0.0,scan,1
209.40800000000002,209.55200000000002,0.14400000000000546,3,0.0,post,1
209.55200000000002,209.728,0.17599999999998772,1,0.0,inactive,1
